game_id,rated,start_time,end_time,turns,victory_status,winner,time_increment,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
147962939194,TRUE,1768320210000,1768320579000,107,outoftime,white,180,shanew012,512,Jacks0n23,479,e4 e6 Nf3 d5 exd5 exd5 Nc3 Bb4 a3 Bxc3 dxc3 Nf6 c4 O-O cxd5 Nxd5 Bc4 Bg4 O-O c6 Qd4 Bxf3 gxf3 Qg5+ Qg4 Qxg4+ fxg4 Nf6 Bg5 Nxg4 b4 Ne5 Ba2 h6 Bf4 Ng6 Bxb8 Raxb8 c4 Ne5 b5 cxb5 cxb5 Nd3 a4 Nb4 Bb3 Rbd8 Rac1 a6 bxa6 bxa6 Rc7 Nd5 Bxd5 Rxd5 Rfc1 Ra5 R1c4 g6 Kg2 h5 Kg3 Kg7 Kh4 Kh6 f4 f5 h3 Rf6 Kg3 g5 fxg5+ Kxg5 h4+ Kh6 Kf4 Rg6 Kf3 Rg4 Rxg4 hxg4+ Kg3 Kh5 Rh7+ Kg6 Rc7 Rxa4 Rc6+ Kh5 Rd6 a5 Rd5 Kg6 Kg2 Ra2+ Kg3 Ra3+ Kf4 a4 Rxf5 Rc3 Kxg4 a3 Rg5+ Kf6 Rf5+,C00,French Defense Knight Variation,3
147932547698,TRUE,1768253498000,1768253853000,120,mate,black,180,sebasgarces16,487,shanew012,504,e4 e5 Bc4 Nf6 Nf3 Nc6 Nxe5 Nxe5 d3 Nfg4 O-O Bc5 Be3 Bxe3 Re1 Bxf2+ Kf1 Ne3+ Rxe3 Bxe3 Qe2 Nxc4 dxc4 Bc5 Nc3 Bd4 Nd5 Bxb2 Rb1 Be5 Rb3 O-O Qg4 c6 Ne3 Qf6+ Nf5 d5 Rf3 Bxf5 exf5 dxc4 Qxc4 Rad8 Rh3 Rd1+ Kf2 Qxf5+ Rf3 Bd4+ Kg3 Be5+ Kf2 Rd2+ Ke3 Qg5+ Ke4 Rd4+ Qxd4 Bxd4 Kxd4 Rd8+ Ke4 Qd5+ Ke3 Re8+ Kf2 Qd2+ Kg3 f5 Rxf5 Re3+ Kf4 Ra3+ Ke5 Rxa2 Ke6 Rxc2 Ke7 Qe2+ Kd7 Qd3+ Ke6 Re2+ Re5 Rxe5+ Kxe5 Qe2+ Kd6 Qxg2 Kc7 Qxh2+ Kxb7 h5 Kxa7 h4 Kb6 h3 Kxc6 Qg2+ Kc5 h2 Kc4 h1=Q Kc3 Qc1+ Kd4 Qf4+ Kc5 Qgg5+ Kc6 Qff6+ Kd7 Qd5+ Kc7 Qfc6+ Kb8 Qdb5+ Ka7 Qca6#,C55,Italian Game Two Knights Defense,
147890139560,TRUE,1768166274000,1768166395000,93,outoftime,white,60,shanew012,368,frankyu997,491,e4 e5 Nf3 Nc6 Bc4 d6 Ng5 Be6 Bxe6 fxe6 Nxe6 Qe7 Nxf8 Qxf8 O-O O-O-O Nc3 Qe7 Nd5 Qe6 c3 Na5 d4 c6 Ne3 exd4 b4 c5 cxd4 Nc4 Nxc4 Qxc4 Rb1 Qxd4 g3 Qxd1 Rxd1 d5 exd5 Ne7 d6 Nc6 Bg5 Rd7 Rb3 b6 a4 a5 bxa5 bxa5 Rdb1 Rxd6 Bf4 Kd7 Bxd6 Kxd6 Rd1+ Ke7 Re3+ Kf7 Rd7+ Kf6 Rd6+ Kf5 Rxc6 Kg5 Rxc5+ Kg6 Rxa5 Kf7 Re6 Kxe6 Ra6+ Kf7 Ra7+ Kf6 Ra6+ Kf7 Ra7+ Kf6 h4 Ke5 f3 Ke6 f4 g6 g4 Re8 f5+ Kf6 fxg6 Re1+ Kf2,C50,Italian Game,1
147855995752,TRUE,1768098498000,1768098772000,80,mate,black,180,malvadoss,457,shanew012,496,d4 e5 Nf3 d5 dxe5 c5 Bg5 f6 exf6 gxf6 Bf4 c4 Bxb8 Bb4+ c3 Bg4 Bf4 Bxf3 gxf3 Bc5 Be3 Bxe3 fxe3 d4 exd4 Ne7 e4 f5 e5 Nd5 Qe2 Qa5 Qxc4 Ne3 Qe6+ Kd8 Qf6+ Kc7 Qg7+ Kb6 Qf6+ Kc7 Nd2 Nc2+ Kf2 Nxa1 Nc4 Qxa2 Qf7+ Kc6 Qe6+ Kc7 Nb6 Qxb2+ Be2 Qxb6 Qe7+ Kc6 Qe6+ Kc7 Qxb6+ Kxb6 Rxa1 Kc6 Rb1 b5 c4 bxc4 Bxc4 Rab8 Re1 Rb2+ Kg3 h5 e6 Rc2 Bd3 Rg8+ Kh4 Rxh2#,A40,Englund Gambit,
147855943994,TRUE,1768098346000,1768098486000,34,mate,black,180,shanew012,489,Aditya_D_Arief,515,e4 e5 Nf3 Bc5 Nc3 d6 Nd5 Nf6 Nxf6+ Qxf6 Bc4 h6 O-O Qg6 c3 Nc6 d4 exd4 cxd4 Bb4 a3 h5 axb4 h4 Bb5 Bh3 Bxc6+ bxc6 Ne1 Bxg2 Nxg2 h3 e5 Qxg2#,C25,Vienna Game Anderssen Defense,2
147853844694,TRUE,1768092314000,1768092525000,28,mate,black,180,shanew012,497,SneezingDesert,492,e4 e5 Nf3 Qf6 Bc4 Qg6 O-O Qxe4 Nc3 Qxc4 d3 Qc6 Nxe5 Qe6 Re1 Be7 d4 d6 Ng4 Qg6 Nd5 Bxg4 Nxc7+ Kd8 Qd2 Bf3 Qc3 Qxg2#,C40,Kings Pawn Opening Kings Knight Variation,
147852011444,TRUE,1768087532000,1768087683000,40,mate,black,180,Cocorotacae,497,shanew012,505,e4 e5 Nf3 Nf6 Nc3 g6 Bc4 Bg7 d3 Nc6 Bg5 Nd4 Nxd4 exd4 Nb5 O-O O-O Qe8 Nxc7 Qe5 Nxa8 Qxg5 Nc7 d5 exd5 Nxd5 Nxd5 Bg4 Qe1 a6 Ne7+ Kh8 h3 Bxh3 Bd5 Rd8 Bxb7 Rc8 Bxc8 Qxg2#,C42,Petrovs Defense Three Knights Game,
147851871798,TRUE,1768087201000,1768087415000,44,mate,black,180,shanew012,497,fncrnz,536,e4 e5 Nf3 f6 Nxe5 fxe5 Qh5+ Ke7 d4 exd4 Bg5+ Nf6 Bxf6+ gxf6 e5 fxe5 Qxe5+ Kf7 Qxh8 Bb4+ c3 Qxh8 Bc4+ Ke7 O-O dxc3 Re1+ Kd6 bxc3 Bxc3 Nxc3 Qxc3 Rad1+ Kc5 Bb3 Kb4 Re4+ Ka3 Ra1 Qxa1+ Bd1 Qxd1+ Re1 Qxe1#,C40,Kings Pawn Opening Kings Knight Variation,
147771651766,TRUE,1767925958000,1767926330000,97,mate,white,180,MR_ICL7,512,shanew012,504,e4 e5 Bc4 Nf6 Qf3 c6 d3 d5 Bb3 dxe4 dxe4 Bb4+ c3 Bc5 Bg5 O-O Bxf6 Qxf6 Qxf6 gxf6 Nd2 f5 f3 fxe4 fxe4 b5 a3 b4 axb4 Bd6 h3 c5 Nc4 Rd8 bxc5 Bxc5 Nxe5 Na6 Rxa6 Bxa6 Bxf7+ Kg7 Bd5 Rab8 b3 Rxb3 Bxb3 Rb8 Bd5 Bxg1 Kd2 Rb1 Kc2 Bd3+ Kd2 Be3+ Kxe3 Rxh1 Kxd3 Rg1 c4 Rxg2 Kd4 Rd2+ Ke3 Rh2 h4 Rxh4 c5 a5 c6 Rh3+ Kd4 Rh1 c7 Rc1 Nc6 a4 c8=Q a3 Ba2 Ra1 Nb4 Rd1+ Ke5 Rh1 Qd7+ Kg6 Qf7+ Kh6 Kf5 Rh5+ Kf6 Rh1 Qg7+ Kh5 Qg5#,C24,Bishops Opening Berlin Defense,
147770343606,TRUE,1767922208000,1767922532000,81,resign,white,180,shanew012,512,jop0427,484,e4 e6 Nf3 c5 c3 Nc6 d4 d6 dxc5 dxc5 Bb5 Qxd1+ Kxd1 Bd7 Bxc6 Bxc6 Nbd2 f5 exf5 Bxf3+ Nxf3 exf5 Re1+ Be7 Ng5 O-O-O+ Bd2 Bxg5 Kc2 Rxd2+ Kb3 Rxf2 Re8+ Bd8 Rd1 Kc7 Rdxd8 Rxg2 Rd5 b6 Rxf5 Kd7 Ree5 Ne7 Rf7 Re8 Rxg7 Kd6 Rh5 Nd5 Rxg2 Ne3 Rh6+ Ke5 Rg5+ Kf4 Rg7 Nf5 Rf7 Kg4 h3+ Kg5 Rhf6 h5 Rxf5+ Kg6 Rf3 a5 Rb7 Re6 Rg3+ Kf5 Rd3 Ke4 Kc4 Re5 Rxb6 Rf5 Rb5 Rf4 Rxc5,B22,Alapin Sicilian Defense,4
