time_increment,victory_status,game_count
30+10,draw,8
4+8,mate,1
11+7,outoftime,1
3+9,resign,2
0+180,outoftime,1
16+8,outoftime,2
25+30,mate,1
12+9,resign,2
14+5,resign,1
8+10,outoftime,3
19+2,resign,1
9+4,resign,2
10+35,resign,1
14+8,mate,1
4+7,resign,2
4+7,mate,3
6+12,outoftime,1
6+12,resign,1
11+11,mate,2
19+30,mate,3
8+4,mate,6
12+20,mate,1
29+30,resign,2
15+9,resign,4
3+10,outoftime,1
120+1,resign,1
2+15,outoftime,2
180+5,resign,2
12+7,resign,4
20+10,draw,5
12+2,outoftime,1
180+180,outoftime,2
8+180,resign,1
35+15,resign,1
17+17,resign,3
15+11,mate,1
150+60,mate,1
18+18,resign,2
18+18,outoftime,1
18+10,resign,1
20+4,resign,2
150+3,resign,1
1+13,mate,1
0+16,outoftime,11
0+16,resign,2
0+16,draw,1
0+16,mate,1
15+4,draw,1
5+17,mate,1
7+6,resign,4
5+25,resign,3
13+14,resign,1
11+4,mate,1
25+30,outoftime,1
25+17,resign,12
25+17,mate,2
0+180,resign,8
40+0,mate,3
60+5,draw,2
18+8,mate,2
180+45,resign,1
1+45,mate,1
10+45,mate,3
25+10,mate,2
9+1,outoftime,1
5+17,resign,6
6+7,outoftime,1
20+9,mate,1
5+12,mate,1
25+9,mate,1
13+20,resign,1
0+15,outoftime,1
1+20,mate,1
0+40,mate,1
0+20,mate,1
7+3,draw,2
1+20,resign,1
18+18,mate,1
14+9,mate,1
40+9,resign,1
25+20,resign,3
12+4,mate,2
14+6,mate,1
180+150,resign,1
180+120,resign,1
20+12,resign,1
30+16,mate,2
30+15,outoftime,1
20+120,mate,1
9+9,draw,1
2+40,draw,1
19+5,mate,1
9+8,mate,7
19+5,draw,1
18+15,resign,1
3+12,resign,2
8+4,outoftime,1
19+45,resign,1
5+9,mate,1
11+2,mate,1
11+2,resign,1
5+21,resign,6
19+4,resign,2
30+1,draw,2
6+8,draw,2
20+1,outoftime,2
15+60,resign,21
15+60,mate,14
15+60,draw,2
4+180,mate,2
14+10,outoftime,1
30+12,outoftime,1
5+11,draw,1
60+13,resign,2
25+4,mate,2
